|id |startdt                |enddt                  |task_id|
|356|2025-09-24 12:26:23.632|2025-09-24 12:26:23.723|2      |
|357|2025-09-24 12:27:23.830|2025-09-24 12:27:23.912|1      |
|358|2025-09-24 12:27:23.930|2025-09-24 12:27:24.029|2      |
|359|2025-09-24 12:28:24.128|2025-09-24 12:28:24.202|1      |
|360|2025-09-24 12:28:24.220|2025-09-24 12:28:24.311|2      |
|361|2025-09-24 12:29:24.410|2025-09-24 12:29:24.493|1      |
|362|2025-09-24 12:29:24.510|2025-09-24 12:29:24.626|2      |
|363|2025-09-24 12:30:24.733|2025-09-24 12:30:24.824|1      |
|364|2025-09-24 12:30:24.842|2025-09-24 12:30:24.949|2      |
|365|2025-09-24 12:31:25.057|2025-09-24 12:31:25.147|1      |
|366|2025-09-24 12:31:25.165|2025-09-24 12:31:25.256|2      |
|367|2025-09-24 12:32:25.355|2025-09-24 12:32:25.429|1      |
|368|2025-09-24 12:32:25.447|2025-09-24 12:32:25.546|2      |
|369|2025-09-24 12:33:25.653|2025-09-24 12:33:25.736|1      |
|370|2025-09-24 12:33:25.753|2025-09-24 12:33:25.853|2      |
|371|2025-09-24 12:34:25.952|2025-09-24 12:34:26.035|1      |
|372|2025-09-24 12:34:26.052|2025-09-24 12:34:26.143|2      |
|373|2025-09-24 12:35:26.251|2025-09-24 12:35:26.333|1      |
|374|2025-09-24 12:35:26.350|2025-09-24 12:35:26.450|2      |
|375|2025-09-24 12:36:26.557|2025-09-24 12:36:26.631|1      |
|376|2025-09-24 12:36:26.649|2025-09-24 12:36:26.748|2      |
|377|2025-09-24 12:37:26.855|2025-09-24 12:37:26.938|1      |
|378|2025-09-24 12:37:26.955|2025-09-24 12:37:27.063|2      |
|379|2025-09-24 12:38:27.162|2025-09-24 12:38:27.236|1      |
|380|2025-09-24 12:38:27.254|2025-09-24 12:38:27.361|2      |
|381|2025-09-24 12:39:27.473|2025-09-24 12:39:27.585|1      |
|382|2025-09-24 12:39:27.610|2025-09-24 12:39:27.752|2      |
|383|2025-09-24 12:40:27.850|2025-09-24 12:40:27.925|1      |
|384|2025-09-24 12:40:27.942|2025-09-24 12:40:28.050|2      |
|385|2025-09-24 12:41:28.157|2025-09-24 12:41:28.256|1      |
|386|2025-09-24 12:41:28.274|2025-09-24 12:41:28.381|2      |
|387|2025-09-24 12:42:28.480|2025-09-24 12:42:28.554|1      |
|388|2025-09-24 12:42:28.572|2025-09-24 12:42:28.671|2      |
|389|2025-09-24 12:43:28.770|2025-09-24 12:43:28.844|1      |
|390|2025-09-24 12:43:28.862|2025-09-24 12:43:28.978|2      |
|391|2025-09-24 12:44:29.077|2025-09-24 12:44:29.152|1      |
|392|2025-09-24 12:44:29.169|2025-09-24 12:44:29.268|2      |
|393|2025-09-24 12:45:29.376|2025-09-24 12:45:29.458|1      |
|394|2025-09-24 12:45:29.476|2025-09-24 12:45:29.575|2      |
|395|2025-09-24 12:46:29.674|2025-09-24 12:46:29.748|1      |
|396|2025-09-24 12:46:29.766|2025-09-24 12:46:29.865|2      |
|397|2025-09-24 12:47:29.964|2025-09-24 12:47:30.046|1      |
|398|2025-09-24 12:47:30.064|2025-09-24 12:47:30.171|2      |
|399|2025-09-24 12:48:30.270|2025-09-24 12:48:30.352|1      |
|400|2025-09-24 12:48:30.370|2025-09-24 12:48:30.477|2      |
|401|2025-09-24 12:49:30.598|2025-09-24 12:49:30.695|1      |
|402|2025-09-24 12:49:30.714|2025-09-24 12:49:30.820|2      |
|403|2025-09-24 12:50:30.919|2025-09-24 12:50:31.001|1      |
|404|2025-09-24 12:50:31.019|2025-09-24 12:50:31.118|2      |
|405|2025-09-24 12:51:31.217|2025-09-24 12:51:31.291|1      |
|406|2025-09-24 12:51:31.310|2025-09-24 12:51:31.416|2      |
|407|2025-09-24 12:52:31.515|2025-09-24 12:52:31.598|1      |
|408|2025-09-24 12:52:31.615|2025-09-24 12:52:31.722|2      |
|409|2025-09-24 12:53:31.830|2025-09-24 12:53:31.905|1      |
|410|2025-09-24 12:53:31.922|2025-09-24 12:53:32.029|2      |
|411|2025-09-24 12:54:32.136|2025-09-24 12:54:32.219|1      |
|412|2025-09-24 12:54:32.237|2025-09-24 12:54:32.345|2      |
|413|2025-09-24 12:55:32.443|2025-09-24 12:55:32.526|1      |
|414|2025-09-24 12:55:32.544|2025-09-24 12:55:32.643|2      |
|415|2025-09-24 12:56:32.742|2025-09-24 12:56:32.824|1      |
|416|2025-09-24 12:56:32.842|2025-09-24 12:56:32.941|2      |
|417|2025-09-24 12:57:33.040|2025-09-24 12:57:33.123|1      |
|418|2025-09-24 12:57:33.140|2025-09-24 12:57:33.247|2      |
|419|2025-09-24 12:58:33.375|2025-09-24 12:58:33.479|1      |
|420|2025-09-24 12:58:33.496|2025-09-24 12:58:33.604|2      |
|421|2025-09-24 12:59:33.711|2025-09-24 12:59:33.786|1      |
|422|2025-09-24 12:59:33.803|2025-09-24 12:59:33.903|2      |
|423|2025-09-24 13:00:34.001|2025-09-24 13:00:34.076|1      |
|424|2025-09-24 13:00:34.093|2025-09-24 13:00:34.192|2      |
|425|2025-09-24 13:01:34.300|2025-09-24 13:01:34.382|1      |
|426|2025-09-24 13:01:34.400|2025-09-24 13:01:34.491|2      |
|427|2025-09-24 13:02:34.589|2025-09-24 13:02:34.663|1      |
|428|2025-09-24 13:02:34.681|2025-09-24 13:02:34.789|2      |
|429|2025-09-24 13:03:34.896|2025-09-24 13:03:34.979|1      |
|430|2025-09-24 13:03:34.996|2025-09-24 13:03:35.104|2      |
|431|2025-09-24 13:04:35.211|2025-09-24 13:04:35.286|1      |
|432|2025-09-24 13:04:35.303|2025-09-24 13:04:35.411|2      |
|433|2025-09-24 13:05:35.510|2025-09-24 13:05:35.584|1      |
|434|2025-09-24 13:05:35.602|2025-09-24 13:05:35.701|2      |
|435|2025-09-24 13:06:35.808|2025-09-24 13:06:35.882|1      |
|436|2025-09-24 13:06:35.900|2025-09-24 13:06:36.008|2      |
|437|2025-09-24 13:07:36.113|2025-09-24 13:07:36.198|1      |
|438|2025-09-24 13:07:36.215|2025-09-24 13:07:36.323|2      |
|439|2025-09-24 13:08:36.430|2025-09-24 13:08:36.504|1      |
|440|2025-09-24 13:08:36.522|2025-09-24 13:08:36.629|2      |
|441|2025-09-24 13:09:36.737|2025-09-24 13:09:36.820|1      |
|442|2025-09-24 13:09:36.837|2025-09-24 13:09:36.953|2      |
|443|2025-09-24 13:10:37.060|2025-09-24 13:10:37.143|1      |
|444|2025-09-24 13:10:37.161|2025-09-24 13:10:37.260|2      |
|445|2025-09-24 13:11:37.367|2025-09-24 13:11:37.449|1      |
|446|2025-09-24 13:11:37.467|2025-09-24 13:11:37.558|2      |
|447|2025-09-24 13:12:37.665|2025-09-24 13:12:37.748|1      |
|448|2025-09-24 13:12:37.765|2025-09-24 13:12:37.864|2      |
|449|2025-09-24 13:13:37.971|2025-09-24 13:13:38.054|1      |
|450|2025-09-24 13:13:38.071|2025-09-24 13:13:38.187|2      |
|451|2025-09-24 13:14:38.295|2025-09-24 13:14:38.386|1      |
|452|2025-09-24 13:14:38.403|2025-09-24 13:14:38.496|2      |
|453|2025-09-24 13:15:38.603|2025-09-24 13:15:38.686|1      |
|454|2025-09-24 13:15:38.703|2025-09-24 13:15:38.802|2      |
|455|2025-09-24 13:16:38.918|2025-09-24 13:16:39.000|1      |
|456|2025-09-24 13:16:39.018|2025-09-24 13:16:39.125|2      |
|457|2025-09-24 13:17:39.233|2025-09-24 13:17:39.315|1      |
|458|2025-09-24 13:17:39.333|2025-09-24 13:17:39.440|2      |
|459|2025-09-24 13:18:39.548|2025-09-24 13:18:39.630|1      |
|460|2025-09-24 13:18:39.647|2025-09-24 13:18:39.747|2      |
|461|2025-09-24 13:19:39.854|2025-09-24 13:19:39.937|1      |
|462|2025-09-24 13:19:39.955|2025-09-24 13:19:40.087|2      |
|463|2025-09-24 13:20:40.195|2025-09-24 13:20:40.277|1      |
|464|2025-09-24 13:20:40.295|2025-09-24 13:20:40.411|2      |
|465|2025-09-24 13:21:40.518|2025-09-24 13:21:40.592|1      |
|466|2025-09-24 13:21:40.609|2025-09-24 13:21:40.725|2      |
|467|2025-09-24 13:22:40.833|2025-09-24 13:22:40.916|1      |
|468|2025-09-24 13:22:40.933|2025-09-24 13:22:41.040|2      |
|469|2025-09-24 13:23:41.139|2025-09-24 13:23:41.214|1      |
|470|2025-09-24 13:23:41.231|2025-09-24 13:23:41.339|2      |
|471|2025-09-24 13:24:41.438|2025-09-24 13:24:41.521|1      |
|472|2025-09-24 13:24:41.538|2025-09-24 13:24:41.654|2      |
|473|2025-09-24 13:25:41.753|2025-09-24 13:25:41.852|1      |
|474|2025-09-24 13:25:41.870|2025-09-24 13:25:41.961|2      |
|475|2025-09-24 13:26:42.060|2025-09-24 13:26:42.150|1      |
|476|2025-09-24 13:26:42.168|2025-09-24 13:26:42.267|2      |
|477|2025-09-24 13:27:42.375|2025-09-24 13:27:42.457|1      |
|478|2025-09-24 13:27:42.475|2025-09-24 13:27:42.574|2      |
|479|2025-09-24 13:28:42.682|2025-09-24 13:28:42.764|1      |
|480|2025-09-24 13:28:42.782|2025-09-24 13:28:42.889|2      |
|481|2025-09-24 13:29:42.988|2025-09-24 13:29:43.071|1      |
|482|2025-09-24 13:29:43.089|2025-09-24 13:29:43.180|2      |
|483|2025-09-24 13:30:43.287|2025-09-24 13:30:43.369|1      |
|484|2025-09-24 13:30:43.387|2025-09-24 13:30:43.486|2      |
|485|2025-09-24 13:31:43.594|2025-09-24 13:31:43.676|1      |
|486|2025-09-24 13:31:43.693|2025-09-24 13:31:43.784|2      |
|487|2025-09-24 13:32:43.883|2025-09-24 13:32:43.966|1      |
|488|2025-09-24 13:32:43.983|2025-09-24 13:32:44.099|2      |
|489|2025-09-24 13:33:44.198|2025-09-24 13:33:44.272|1      |
|490|2025-09-24 13:33:44.290|2025-09-24 13:33:44.397|2      |
|491|2025-09-24 13:34:44.496|2025-09-24 13:34:44.579|1      |
|492|2025-09-24 13:34:44.597|2025-09-24 13:34:44.696|2      |
|493|2025-09-24 13:35:44.795|2025-09-24 13:35:44.870|1      |
|494|2025-09-24 13:35:44.887|2025-09-24 13:35:44.995|2      |
|495|2025-09-24 13:36:45.102|2025-09-24 13:36:45.184|1      |
|496|2025-09-24 13:36:45.202|2025-09-24 13:36:45.318|2      |
|497|2025-09-24 13:37:45.417|2025-09-24 13:37:45.499|1      |
|498|2025-09-24 13:37:45.517|2025-09-24 13:37:45.616|2      |
|499|2025-09-24 13:38:45.723|2025-09-24 13:38:45.806|1      |
|500|2025-09-24 13:38:45.823|2025-09-24 13:38:45.914|2      |
|501|2025-09-24 13:39:46.021|2025-09-24 13:39:46.097|1      |
|502|2025-09-24 13:39:46.115|2025-09-24 13:39:46.223|2      |
|503|2025-09-24 13:40:46.330|2025-09-24 13:40:46.412|1      |
|504|2025-09-24 13:40:46.430|2025-09-24 13:40:46.537|2      |
|505|2025-09-24 13:41:46.645|2025-09-24 13:41:46.727|1      |
|506|2025-09-24 13:41:46.745|2025-09-24 13:41:46.844|2      |
|507|2025-09-24 13:42:46.943|2025-09-24 13:42:47.018|1      |
|508|2025-09-24 13:42:47.034|2025-09-24 13:42:47.142|2      |
|509|2025-09-24 13:43:47.241|2025-09-24 13:43:47.323|1      |
|510|2025-09-24 13:43:47.341|2025-09-24 13:43:47.440|2      |
|511|2025-09-24 13:44:47.539|2025-09-24 13:44:47.631|1      |
|512|2025-09-24 13:44:47.648|2025-09-24 13:44:47.748|2      |
|513|2025-09-24 13:45:47.847|2025-09-24 13:45:47.921|1      |
