|id |node_id|interface_id|mac_address      |ip_address|vlan_id|first_seen             |last_seen              |status  |
|126|1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|127|1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|128|1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|129|1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|130|1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|131|1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|132|1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|133|1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|134|1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|135|1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|136|1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|137|1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|138|1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|139|1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|140|1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|81 |1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|82 |1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|83 |1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|84 |1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|85 |1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|86 |1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|87 |1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|88 |1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|89 |1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|90 |1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|91 |1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|92 |1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|93 |1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|94 |1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|95 |1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|96 |1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|97 |1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|98 |1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|99 |1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|100|1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:09:05.997|2025-09-24 14:09:07.113|INACTIVE|
|181|1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|182|1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|183|1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|184|1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|185|1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|186|1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|187|1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|188|1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|189|1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|190|1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|191|1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|192|1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|193|1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|194|1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|195|1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|196|1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|197|1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:11:10.458|2025-09-24 14:11:11.475|INACTIVE|
|141|1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|142|1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|143|1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|144|1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|145|1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|146|1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|147|1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|148|1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|149|1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|150|1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|151|1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|152|1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|153|1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|154|1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|155|1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|161|1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|162|1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|163|1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|164|1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|165|1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|156|1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|157|1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|158|1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|159|1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|160|1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:10:08.806|2025-09-24 14:10:09.688|INACTIVE|
|241|1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|242|1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|243|1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|244|1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|245|1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|246|1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|247|1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|248|1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|249|1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|250|1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|251|1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|252|1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|253|1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|254|1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|255|1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|256|1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|257|1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|258|1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|259|1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|260|1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:12:13.015|2025-09-24 14:12:14.058|INACTIVE|
|166|1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|167|1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|168|1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|169|1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|170|1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
|171|1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:10:09.688|2025-09-24 14:11:10.968|INACTIVE|
